course,num,len,c,alpha,h,pv
MITx+6.00x+2012_Fall,41244,19,0.418271840508213,1.37706899661972,1,0
MITx+6.00x+2013_Spring,40836,19,0.432677142322246,1.41636208256278,1,0
MITx+7.00x+2013_Spring,13037,18,0.436094717735644,1.41776077347529,1,8.85105322367963e-10
MITx+8.02x+2013_Spring,20879,21,0.431397273152897,1.42672333467757,1,0
MITx+8.MReV+2013_Summer,6744,48,0.399487559496376,1.42687952946015,1,0
THESIS2014_1X+_2014_,1558,20,0.542057828407275,1.73148322203152,1,0
THU00001X+_,3564,88,0.233103572611429,1.08774461057168,1,5.38902256153051e-13
THU00013X+_,791,25,0.295235565709762,1.09141915472329,1,6.76136924226967e-12
THU00022X+2015_T1,1395,31,0.612230396767142,1.97517862994653,1,5.86402932878372e-08
TSINGHUA101+_,2530,22,0.409911067755102,1.37558438622675,1,0
TSINGHUA102+_,1226,20,0.477733823841792,1.54711472060163,0,0.20671238945
